日本語,Romaji,한국어,歌,Singer,가수,作詞,Lyrics,작사,作曲,Compose,작곡,編曲,Arrange,편곡,Album,Release,Link,Note
スリリング・ワンウェイ,Thrilling・One Way,스릴링・원 웨이,Aqours,Aqours,Aqours,,,,,,,,,,,2017-02-24,https://youtu.be/qhOGlyW1D1c,TVA1 BD Vol.6
太陽を追いかけろ！,Taiyou o Oikakero!,태양을 쫓아가자!,Aqours,Aqours,Aqours,,,,,,,,,,,2017-03-24,https://youtu.be/XzCzcYD0zck,TVA1 BD Vol.7
Guilty Eyes Fever,Guilty Eyes Fever,Guilty Eyes Fever,Guilty Kiss,Guilty Kiss,Guilty Kiss,,,,,,,,,,,2017-03-24,https://youtu.be/UcG5RpJ6DTg,TVA1 BD Full (animate)
P.S.の向こう側,P.S. no Mukougawa,P.S.의 건너편,CYaRon!,CYaRon!,CYaRon!,,,,,,,,,,,2017-03-24,https://youtu.be/6u7d7WrJLME,TVA1 BD Full (Gamers)
LONELY TUNING,LONELY TUNING,LONELY TUNING,AZALEA,AZALEA,AZALEA,,,,,,,,,,,2017-03-24,https://youtu.be/eNxFXm_LuZI,TVA1 BD Full (Sofmap)
HAPPY PARTY TRAIN,HAPPY PARTY TRAIN,HAPPY PARTY TRAIN,Aqours,Aqours,Aqours,,,,,,,,,,,2017-04-05,https://youtu.be/LGvQ3lscChg,
SKY JOURNEY,SKY JOURNEY,SKY JOURNEY,Aqours,Aqours,Aqours,,,,,,,,,,,2017-04-05,https://youtu.be/LGvQ3lscChg,
少女以上の恋がしたい,Shojo Ijo no Koi ga Shitai,소녀 이상의 사랑이 하고 싶어,Aqours,Aqours,Aqours,,,,,,,,,,,2017-04-05,https://youtu.be/fP5nAQ0ycxM,
近未来ハッピーエンド,Kinmirai Happy End,근미래 해피엔드,CYaRon!,CYaRon!,CYaRon!,,,,,,,,,,,2017-05-10,https://youtu.be/abrfiTxZG9Q,
海岸通りで待ってるよ,Kaigandori de Matteru Yo,해안 도로에서 기다릴게,CYaRon!,CYaRon!,CYaRon!,,,,,,,,,,,2017-05-10,https://youtu.be/CcXMre0gprQ,
GALAXY HidE and SeeK,GALAXY HidE and SeeK,GALAXY HidE and SeeK,AZALEA,AZALEA,AZALEA,,,,,,,,,,,2017-05-31,https://youtu.be/UJln5-o8jqg,
INNOCENT BIRD,INNOCENT BIRD,INNOCENT BIRD,AZALEA,AZALEA,AZALEA,,,,,,,,,,,2017-05-31,https://youtu.be/SPh7tyj2Ipw,
コワレヤスキ,Kowareyasuki,부서지기 쉬운 사랑,Guilty Kiss,Guilty Kiss,Guilty Kiss,,,,,,,,,,,2017-06-21,https://youtu.be/nTZWmPVtkqI,
Shadow gate to love,Shadow gate to love,Shadow gate to love,Guilty Kiss,Guilty Kiss,Guilty Kiss,,,,,,,,,,,2017-06-21,https://youtu.be/7wmOFiRHCw4,
Landing action Yeah!!,Landing action Yeah!!,Landing action Yeah!!,Aqours,Aqours,Aqours,,,,,,,,,,,2017-06-30,https://youtu.be/I2dTqCBOmN4,
Landing action Yeah!! (高海千歌 Solo Ver.),Landing action Yeah!! (Chika Takami Solo Ver.),Landing action Yeah!! (타카미 치카 Solo Ver.),高海千歌,Chika Takami,타카미 치카,,,,,,,,,,,2017-06-30,https://youtu.be/vxQbmQwR4vo,
Landing action Yeah!! (桜内梨子 Solo Ver.),Landing action Yeah!! (Riko Sakurauchi Solo Ver.),Landing action Yeah!! (사쿠라우치 리코 Solo Ver.),桜内梨子,Riko Sakurauchi,사쿠라우치 리코,,,,,,,,,,,2017-06-30,https://youtu.be/mK-lyZd0P-o,
Landing action Yeah!! (松浦果南 Solo Ver.),Landing action Yeah!! (Kanan Matsuura Solo Ver.),Landing action Yeah!! (마츠우라 카난 Solo Ver.),松浦果南,Kanan Matsuura,마츠우라 카난,,,,,,,,,,,2017-06-30,https://youtu.be/Y3xIgNEONsY,
Landing action Yeah!! (黒澤ダイヤ Solo Ver.),Landing action Yeah!! (Dia Kurosawa Solo Ver.),Landing action Yeah!! (쿠로사와 다이아 Solo Ver.),黒澤ダイヤ,Dia Kurosawa,쿠로사와 다이아,,,,,,,,,,,2017-06-30,https://youtu.be/5sz79HWz1OA,
Landing action Yeah!! (渡辺 曜 Solo Ver.),Landing action Yeah!! (You Watanabe Solo Ver.),Landing action Yeah!! (와타나베 요우 Solo Ver.),渡辺 曜,You Watanabe,와타나베 요우,,,,,,,,,,,2017-06-30,https://youtu.be/OAXU0b29hyo,
Landing action Yeah!! (津島善子 Solo Ver.),Landing action Yeah!! (Yoshiko Tsushima Solo Ver.),Landing action Yeah!! (츠시마 요시코 Solo Ver.),津島善子,Yoshiko Tsushima,츠시마 요시코,,,,,,,,,,,2017-06-30,https://youtu.be/vBP3pBgBLpM,
Landing action Yeah!! (国木田花丸 Solo Ver.),Landing action Yeah!! (Hanamaru Kunikida Solo Ver.),Landing action Yeah!! (쿠니키다 하나마루 Solo Ver.),国木田花丸,Hanamaru Kunikida,쿠니키다 하나마루,,,,,,,,,,,2017-06-30,https://youtu.be/uYHzAbjhoHM,
Landing action Yeah!! (小原鞠莉 Solo Ver.),Landing action Yeah!! (Mari Ohara Solo Ver.),Landing action Yeah!! (오하라 마리 Solo Ver.),小原鞠莉,Mari Ohara,오하라 마리,,,,,,,,,,,2017-06-30,https://youtu.be/nON6T5VhnTE,
Landing action Yeah!! (黒澤ルビィ Solo Ver.),Landing action Yeah!! (Ruby Kurosawa Solo Ver.),Landing action Yeah!! (쿠로사와 루비 Solo Ver.),黒澤ルビィ,Ruby Kurosawa,쿠로사와 루비,,,,,,,,,,,2017-06-30,https://youtu.be/qtf_kug68nY,
夏への扉 Never end ver.,Natsu e no Tobira Never end ver.,여름으로의 문 Never end ver.,桜内梨子;国木田花丸;小原鞠莉,Riko Sakurauchi;Hanamaru Kunikida;Mari Ohara,사쿠라우치 리코;쿠니키다 하나마루;오하라 마리,,,,,,,,,,,2017-08-02,https://youtu.be/EtBXixfB20g,
真夏は誰のモノ？,Manatsu Wa Dare No Mono?,한여름은 누구의 것?,黒澤ダイヤ;黒澤ルビィ,Dia Kurosawa;Ruby Kurosawa,쿠로사와 다이아;쿠로사와 루비,,,,,,,,,,,2017-08-02,https://youtu.be/Z-lzzpSjGi8,
地元愛♡満タン☆サマーライフ,Jimo Ai♡Mantan☆Summer Life,고향 사랑♡가득 담은☆서머 라이프,渡辺 曜;津島善子,You Watanabe;Yoshiko Tsushima,와타나베 요우;츠시마 요시코,,,,,,,,,,,2017-08-02,https://youtu.be/dZKi7xIPv1Q,
夏の終わりの雨音が,Natsu No Owari No Amaoto ga,여름 끝의 빗소리가,高海千歌;松浦果南,Chika Takami;Kanan Matsuura,타카미 치카;마츠우라 카난,,,,,,,,,,,2017-08-02,https://youtu.be/7579Sej7CYk,
未来の僕らは知ってるよ,Mirai no Bokura wa Shitteru yo,미래의 우리들은 알고 있어,Aqours,Aqours,Aqours,,,,,,,,,,,2017-10-25,https://youtu.be/RdUENJeYUYI,
君の瞳を巡る冒険,Kimi no Hitomi o Meguru Boken,너의 눈동자를 둘러싼 모험,Aqours,Aqours,Aqours,,,,,,,,,,,2017-10-25,https://youtu.be/YWQOwty3BJA,
勇気はどこに？君の胸に！,Yuki wa Doko ni? Kimi no Mune ni!,용기는 어디에? 너의 가슴에!,Aqours,Aqours,Aqours,,,,,,,,,,,2017-11-15,https://youtu.be/fLnchHAGi4I,
“MY LIST” to you!,“MY LIST” to you!,“MY LIST” to you!,Aqours,Aqours,Aqours,,,,,,,,,,,2017-11-15,https://youtu.be/8JHoP7zOESk,
MY舞☆TONIGHT,MY Mai☆TONIGHT,MY무희☆TONIGHT,Aqours,Aqours,Aqours,,,,,,,,,,,2017-11-29,https://youtu.be/NEzMVzPgSF4,
MIRACLE WAVE,MIRACLE WAVE,MIRACLE WAVE,Aqours,Aqours,Aqours,,,,,,,,,,,2017-11-29,https://youtu.be/h5ih56dzVYw,
Awaken the power,Awaken the power,Awaken the power,Saint Aqours Snow,Saint Aqours Snow,Saint Aqours Snow,,,,,,,,,,,2017-12-20,https://youtu.be/APoKMSuSXlM,
CRASH MIND,CRASH MIND,CRASH MIND,Saint Snow,Saint Snow,Saint Snow,,,,,,,,,,,2017-12-20,https://youtu.be/ddgVXZnQt8o,
DROPOUT!?,DROPOUT!?,DROPOUT!?,Saint Snow,Saint Snow,Saint Snow,,,,,,,,,,,2017-12-20,https://youtu.be/OkXsedymTxc,
One More Sunshine Story,One More Sunshine Story,One More Sunshine Story,高海千歌,Chika Takami,타카미 치카,,,,,,,,,,,2017-12-22,https://youtu.be/jwyBqK_rXYU,TVA2 BD Vol.1
おやすみなさん！,Oyasuminasan!,안녕히 주무세여러분!,国木田花丸,Hanamaru Kunikida,쿠니키다 하나마루,,,,,,,,,,,2018-01-26,https://youtu.be/2fmZqdiTPG4,TVA2 BD Vol.2
in this unstable world,in this unstable world,in this unstable world,津島善子,Yoshiko Tsushima,츠시마 요시코,,,,,,,,,,,2018-02-23,https://youtu.be/bc0dF6XPeHY,TVA2 BD Vol.3
Pianoforte Monologue,Pianoforte Monologue,Pianoforte Monologue,桜内梨子,Riko Sakurauchi,사쿠라우치 리코,,,,,,,,,,,2018-02-23,https://youtu.be/uHELX9ELRQQ,TVA2 BD Vol.3
Beginner's Sailing,Beginner's Sailing,Beginner's Sailing,渡辺 曜,You Watanabe,와타나베 요우,,,,,,,,,,,2018-03-23,https://youtu.be/rBnQNJbxa_Q,TVA2 BD Vol.4
RED GEM WINK,RED GEM WINK,RED GEM WINK,黒澤ルビィ,Ruby Kurosawa,쿠로사와 루비,,,,,,,,,,,2018-04-24,https://youtu.be/qqMhdF3p4ew,TVA2 BD Vol.5
