Album,Track,日本語,Romaji,한국어,歌,Singer,가수,作詞,Lyrics,작사,作曲,Compose,작곡,編曲,Arrange,편곡,Release,Link,Category,Note,発音
決めたよHand in Hand／ダイスキだったらダイジョウブ！,3,決めたよHand in Hand (Off Vocal),Kimetayo Hand in Hand (Off Vocal),결정했어 Hand in Hand (Off Vocal),高海千歌;桜内梨子;渡辺曜,Chika Takami;Riko Sakurauchi;You Watanabe,타카미 치카;사쿠라우치 리코;와타나베 요우,畑 亜貴,Aki Hata,하타 아키,渡辺拓也,Takuya Watanabe,와타나베 타쿠야,渡辺拓也,Takuya Watanabe,와타나베 타쿠야,2016-08-03,NA,Aqours,,きめたよハンド イン ハンド (オフボーカル)
決めたよHand in Hand／ダイスキだったらダイジョウブ！,4,ダイスキだったらダイジョウブ！ (Off Vocal),Daisuki Dattara Daijoubu! (Off Vocal),정말로 좋아한다면 괜찮을 거야! (Off Vocal),高海千歌;桜内梨子;渡辺曜,Chika Takami;Riko Sakurauchi;You Watanabe,타카미 치카;사쿠라우치 리코;와타나베 요우,畑 亜貴,Aki Hata,하타 아키,高田 暁,Kyo Takada,타카다 쿄,高田 暁,Kyo Takada,타카다 쿄,2016-08-03,NA,Aqours,,ダイスキだったらダイジョウブ (オフボーカル)
ユメ語るよりユメ歌おう,1,ユメ語るよりユメ歌おう,Yume Kataruyori Yume Utaou,꿈을 말하기보다 꿈을 노래하자,Aqours,Aqours,Aqours,畑 亜貴,Aki Hata,하타 아키,山口朗彦,Akihiko Yamaguchi,야마구치 아키히코,山口朗彦,Akihiko Yamaguchi,야마구치 아키히코,2016-08-24,https://youtu.be/UogE0nwkLwg,Aqours,,ユメかたるよりユメうたおう
ユメ語るよりユメ歌おう,2,サンシャインぴっかぴか音頭,Sunshine Pikkapika Ondo,선샤인 반짝반짝 선창,Aqours,Aqours,Aqours,畑 亜貴,Aki Hata,하타 아키,伊藤真澄,Masumi Ito,이토 마스미,EFFY,EFFY,EFFY,2016-08-24,https://youtu.be/6MHsaRghITY,Aqours,,サンシャインぴっかぴかおんど
ユメ語るよりユメ歌おう,3,ユメ語るよりユメ歌おう (Off Vocal),Yume Kataruyori Yume Utaou (Off Vocal),꿈을 말하기보다 꿈을 노래하자 (Off Vocal),Aqours,Aqours,Aqours,畑 亜貴,Aki Hata,하타 아키,山口朗彦,Akihiko Yamaguchi,야마구치 아키히코,山口朗彦,Akihiko Yamaguchi,야마구치 아키히코,2016-08-24,NA,Aqours,,ユメかたるよりユメうたおう (オフボーカル)
ユメ語るよりユメ歌おう,4,サンシャインぴっかぴか音頭 (Off Vocal),Sunshine Pikkapika Ondo (Off Vocal),선샤인 반짝반짝 선창 (Off Vocal),Aqours,Aqours,Aqours,畑 亜貴,Aki Hata,하타 아키,伊藤真澄,Masumi Ito,이토 마스미,EFFY,EFFY,EFFY,2016-08-24,NA,Aqours,,サンシャインぴっかぴかおんど (オフボーカル)
夢で夜空を照らしたい／未熟DREAMER,1,夢で夜空を照らしたい,Yume De Yozora Wo Terashitai,꿈으로 밤하늘을 비추고 싶어,高海千歌;桜内梨子;渡辺曜;津島善子;国木田花丸;黒澤ルビィ,Chika Takami;Riko Sakurauchi;You Watanabe;Yoshiko Tsushima;Hanamaru Kunikida;Ruby Kurosawa,타카미 치카;사쿠라우치 리코;와타나베 요우;츠시마 요시코;쿠니키다 하나마루;쿠로사와 루비,畑 亜貴,Aki Hata,하타 아키,光増ハジメ,Hajime Mitsumasu,미츠마스 하지메,EFFY,EFFY,EFFY,2016-09-14,https://youtu.be/AiJM0yAfVM4,Aqours,,ゆめで よぞらを てらしたい
夢で夜空を照らしたい／未熟DREAMER,2,未熟DREAMER,Mijuku DREAMER,미숙 DREAMER,Aqours,Aqours,Aqours,畑 亜貴,Aki Hata,하타 아키,渡辺和紀,Kazunori Watanabe,와타나베 카즈노리,渡辺和紀,Kazunori Watanabe,와타나베 카즈노리,2016-09-14,https://youtu.be/dHasNhuseU8,Aqours,,みじゅく ドリーマー
夢で夜空を照らしたい／未熟DREAMER,3,夢で夜空を照らしたい (Off Vocal),Yume De Yozora Wo Terashitai (Off Vocal),꿈으로 밤하늘을 비추고 싶어 (Off Vocal),高海千歌;桜内梨子;渡辺曜;津島善子;国木田花丸;黒澤ルビィ,Chika Takami;Riko Sakurauchi;You Watanabe;Yoshiko Tsushima;Hanamaru Kunikida;Ruby Kurosawa,타카미 치카;사쿠라우치 리코;와타나베 요우;츠시마 요시코;쿠니키다 하나마루;쿠로사와 루비,畑 亜貴,Aki Hata,하타 아키,光増ハジメ,Hajime Mitsumasu,미츠마스 하지메,EFFY,EFFY,EFFY,2016-09-14,NA,Aqours,,ゆめで よぞらを てらしたい (オフボーカル)
夢で夜空を照らしたい／未熟DREAMER,4,未熟DREAMER (Off Vocal),Mijuku DREAMER (Off Vocal),미숙 DREAMER (Off Vocal),Aqours,Aqours,Aqours,畑 亜貴,Aki Hata,하타 아키,渡辺和紀,Kazunori Watanabe,와타나베 카즈노리,渡辺和紀,Kazunori Watanabe,와타나베 카즈노리,2016-09-14,NA,Aqours,,みじゅく ドリーマー (オフボーカル)
