Album,Track,日本語,Romaji,한국어,歌,Singer,가수,作詞,Lyrics,작사,作曲,Compose,작곡,編曲,Arrange,편곡,Release,Link,Category,Note,発音
ドラマCD 放課後ファンタジア [Disc 2],7,ラジオドラマ 4章2話 ~お世話になります♡~,Radio Drama Chapter 4 Episode 2 ~Thank you for your help♡~,라디오 드라마 4장 2화 ~잘 부탁드려요♡~,虹ヶ咲学園スクールアイドル同好会,Nijigasaki High School Idol Club,니지가사키 학원 스쿨 아이돌 동호회,,,,,,,,,,2019-05-22,NA,Nijigasaki,"Drama Part, ラブライブ！虹ヶ咲学園 ～お昼休み放送室～",
ドラマCD 放課後ファンタジア [Disc 2],8,ラジオドラマ 4章3話 ~かすみの秘密~,Radio Drama Chapter 4 Episode 3 ~The secret of Kasumi~,라디오 드라마 4장 3화 ~카스미의 비밀~,虹ヶ咲学園スクールアイドル同好会,Nijigasaki High School Idol Club,니지가사키 학원 스쿨 아이돌 동호회,,,,,,,,,,2019-05-22,NA,Nijigasaki,"Drama Part, ラブライブ！虹ヶ咲学園 ～お昼休み放送室～",
ドラマCD 放課後ファンタジア [Disc 2],9,ラジオドラマ 4章4話 ~愛すべきペットたち~,Radio Drama Chapter 4 Episode 4 ~Lovable pets~,라디오 드라마 4장 4화 ~사랑스러운 펫들~,虹ヶ咲学園スクールアイドル同好会,Nijigasaki High School Idol Club,니지가사키 학원 스쿨 아이돌 동호회,,,,,,,,,,2019-05-22,NA,Nijigasaki,"Drama Part, ラブライブ！虹ヶ咲学園 ～お昼休み放送室～",
ドラマCD 放課後ファンタジア [Disc 2],10,歩夢inワンダーランド？？？,Ayumu in Wonderland???,아유무 in 원더랜드???,虹ヶ咲学園スクールアイドル同好会,Nijigasaki High School Idol Club,니지가사키 학원 스쿨 아이돌 동호회,,,,,,,,,,2019-05-22,NA,Nijigasaki,"Drama Part, ラブライブ！虹ヶ咲学園 ～お昼休み放送室～",
Love U my friends,1,開花宣言,Kaika Sengen,개화선언,上原歩夢,Ayumu Uehara,우에하라 아유무,Akira Sunset,Akira Sunset,Akira Sunset,Akira Sunset,Akira Sunset,Akira Sunset,遠藤ナオキ,Naoki Endo,엔도 나오키,2019-10-02,https://youtu.be/EBnpWRCONnM,Nijigasaki,,かいかせんげん
Love U my friends,2,☆ワンダーランド☆,☆Wonderland☆,☆원더랜드☆,中須かすみ,Kasumi Nakasu,나카스 카스미,鈴木エレカ,Ereca Suzuki,스즈키 에레카,NOVECHIKA;TETTA,NOVECHIKA;TETTA,NOVECHIKA;TETTA,NOVECHIKA;TETTA,NOVECHIKA;TETTA,NOVECHIKA;TETTA,2019-10-02,https://youtu.be/01kjQV-7fQQ,Nijigasaki,,ワンダーランド
Love U my friends,3,オードリー ,Audrey,오드리,桜坂しずく,Shizuku Osaka,오사카 시즈쿠,月見草,Tsukimisou,츠키미소오,月見草,Tsukimisou,츠키미소오,菊地博人,Hiroto Kikuchi,키쿠치 히로토,2019-10-02,https://youtu.be/_D8EIlJi7wE,Nijigasaki,,オードリー 
Love U my friends,4,Wish,Wish,Wish,朝香果林,Karin Asaka,아사카 카린,BEATNINE,BEATNINE,BEATNINE,Carlos K.,Carlos K.,Carlos K.,Carlos K.;JOE,Carlos K.;JOE,Carlos K.;JOE,2019-10-02,https://youtu.be/Ifp-5U4VGok,Nijigasaki,,ウィッシュ
Love U my friends,5,友 & 愛,Yuu & Ai,친구 & 사랑,宮下 愛,Ai Miyashita,미야시타 아이,Akira Sunset,Akira Sunset,Akira Sunset,Carlos K.,Carlos K.,Carlos K.,Carlos K.;Konnie Aoki,Carlos K.;Konnie Aoki,Carlos K.;Konnie Aoki,2019-10-02,https://youtu.be/lo3OB-a7TCg,Nijigasaki,,ゆう アンド あい
Love U my friends,6,My Own Fairy-Tale,My Own Fairy-Tale,My Own Fairy-Tale,近江彼方,Kanata Konoe,코노에 카나타,Ryota Saito,Ryota Saito,Ryota Saito,Ryota Saito;Diz,Ryota Saito;Diz,Ryota Saito;Diz,Ryota Saito;Diz,Ryota Saito;Diz,Ryota Saito;Diz,2019-10-02,https://youtu.be/a-WarIBtd3w,Nijigasaki,,マイ・オウン・フェアリーテイル
Love U my friends,7,MELODY,MELODY,MELODY,優木せつ菜,Setsuna Yuki,유키 세츠나,鈴木エレカ,Ereca Suzuki,스즈키 에레카,鈴木まなか;Hiroki Sagawa,Manaka Suzuki;Hiroki Sagawa,스즈키 마나카;Hiroki Sagawa,サイトウ リョースケ,Ryosuke Saito,사이토 료스케,2019-10-02,https://youtu.be/PvVgqYSsQ2Y,Nijigasaki,,メロディー
Love U my friends,8,声繋ごうよ,Koe Tsunagou yo,목소리를 잇자,エマ・ヴェルデ,Emma Verde,엠마 베르데,Ryota Saito,Ryota Saito,Ryota Saito,浦島健太;山本 匠,Kenta Urashima;Takumi Yamamoto,우라시마 켄타;야마모토 타쿠미,浦島健太;山本 匠,Kenta Urashima;Takumi Yamamoto,우라시마 켄타;야마모토 타쿠미,2019-10-02,https://youtu.be/gIBdVbN5QKs,Nijigasaki,,こえつなごうよ
Love U my friends,9,テレテレパシー,Teletelepathy,텔레텔레파시,天王寺璃奈,Rina Tennoji,텐노지 리나,NOVECHIKA;クボナオキ,NOVECHIKA;Naoki Kubo,NOVECHIKA;쿠보 나오키,クボナオキ,Naoki Kubo,쿠보 나오키,縄田寿志,Hisashi Nawata,나와타 히사시,2019-10-02,https://youtu.be/KZ0Wr3UIvMw,Nijigasaki,,テレテレパシー
Love U my friends,10,Love U my friends,Love U my friends,Love U my friends,虹ヶ咲学園スクールアイドル同好会,Nijigasaki High School Idol Club,니지가사키 학원 스쿨 아이돌 동호회,Kanata Okajima,Kanata Okajima,Kanata Okajima,Keisuke Koyama,Keisuke Koyama,Keisuke Koyama,Keisuke Koyama,Keisuke Koyama,Keisuke Koyama,2019-10-02,https://youtu.be/fNEuJHgPMtM,Nijigasaki,9 Members Ver.,ラブ・ユー・マイ・フレンズ
Love U my friends,11,彼方と璃奈の体育祭大作戦,Kanata and Rina's Sports Festival Competition,카나타와 리나의 체육제 대작전,,,,,,,,,,,,,2019-10-02,NA,Nijigasaki,Drama Part,かなたとりなのたいいくさいだいさくせん
SUPER NOVA,1,SUPER NOVA,SUPER NOVA,SUPER NOVA,DiverDiva,DiverDiva,DiverDiva,Dummy Dog,Dummy Dog,Dummy Dog,Dummy Dog,Dummy Dog,Dummy Dog,Dummy Dog,Dummy Dog,Dummy Dog,2020-02-12,https://youtu.be/dso45gIdbjA,Nijigasaki,DiverDiva 1st,スーパーノヴァ
SUPER NOVA,2,Love Triangle,Love Triangle,Love Triangle,DiverDiva,DiverDiva,DiverDiva,Ayaka Miyake;栗原暁(Jazzin'park),Ayaka Miyake;Satoru Kurihara(Jazzin'park),Ayaka Miyake;쿠리하라 사토루(Jazzin'park),久保田真悟(Jazzin'park);栗原暁(Jazzin'park),Singo Kubota(Jazzin'park);Satoru Kurihara(Jazzin'park),쿠보타 신고(Jazzin'park);쿠리하라 사토루(Jazzin'park),久保田真悟(Jazzin'park),Singo Kubota(Jazzin'park),쿠보타 신고(Jazzin'park),2020-02-12,https://youtu.be/WBETX2ONF8w,Nijigasaki,DiverDiva 1st,ラブ トライアングル
SUPER NOVA,3,SUPER NOVA (Off Vocal),SUPER NOVA (Off Vocal),SUPER NOVA (Off Vocal),DiverDiva,DiverDiva,DiverDiva,Dummy Dog,Dummy Dog,Dummy Dog,Dummy Dog,Dummy Dog,Dummy Dog,Dummy Dog,Dummy Dog,Dummy Dog,2020-02-12,NA,Nijigasaki,DiverDiva 1st,スーパーノヴァ (オフボーカル)
SUPER NOVA,4,Love Triangle (Off Vocal),Love Triangle (Off Vocal),Love Triangle (Off Vocal),DiverDiva,DiverDiva,DiverDiva,Ayaka Miyake;栗原暁(Jazzin'park),Ayaka Miyake;Satoru Kurihara(Jazzin'park),Ayaka Miyake;쿠리하라 사토루(Jazzin'park),久保田真悟(Jazzin'park);栗原暁(Jazzin'park),Singo Kubota(Jazzin'park);Satoru Kurihara(Jazzin'park),쿠보타 신고(Jazzin'park);쿠리하라 사토루(Jazzin'park),久保田真悟(Jazzin'park),Singo Kubota(Jazzin'park),쿠보타 신고(Jazzin'park),2020-02-12,NA,Nijigasaki,DiverDiva 1st,ラブ トライアングル (オフボーカル)
SUPER NOVA,5,DiverDivaにお任せ!!,Leave it to DiverDiva!!,DiverDiva에게 맡겨주세요!!,,,,,,,,,,,,,2020-02-12,NA,Nijigasaki,Drama Part,ダイバーディーバにおまかせ!!
Dream Land ! Dream World ! ,1,Dream Land ! Dream World ! ,Dream Land! Dream World!,Dream Land! Dream World!,A·ZU·NA,A·ZU·NA,A·ZU·NA,hot tears,hot tears,hot tears,景山将太,Shota Kageyama,카게야마 쇼타,MEGAneCOMIC,MEGAneCOMIC,MEGAneCOMIC,2020-02-12,https://youtu.be/TRzHibBAFJs,Nijigasaki,A·ZU·NA 1st,ドリームランド！ドリームワールド！
Dream Land ! Dream World ! ,2,Cheer for you!!,Cheer for you!!,Cheer for you!!,A·ZU·NA,A·ZU·NA,A·ZU·NA,Ayaka Miyake,Ayaka Miyake,Ayaka Miyake,hot tears;Sheeta.C,hot tears;Sheeta.C,hot tears;Sheeta.C,hot tears;Sheeta.C,hot tears;Sheeta.C,hot tears;Sheeta.C,2020-02-12,https://youtu.be/8EoUknt_Ji4,Nijigasaki,A·ZU·NA 1st,チア・フォー・ユー！！
Dream Land ! Dream World ! ,3,Dream Land ! Dream World !  (Off Vocal),Dream Land! Dream World! (Off Vocal),Dream Land! Dream World! (Off Vocal),A·ZU·NA,A·ZU·NA,A·ZU·NA,hot tears,hot tears,hot tears,景山将太,Shota Kageyama,카게야마 쇼타,MEGAneCOMIC,MEGAneCOMIC,MEGAneCOMIC,2020-02-12,NA,Nijigasaki,A·ZU·NA 1st,ドリームランド！ドリームワールド！ (オフボーカル)
Dream Land ! Dream World ! ,4,Cheer for you!! (Off Vocal),Cheer for you!! (Off Vocal),Cheer for you!! (Off Vocal),A·ZU·NA,A·ZU·NA,A·ZU·NA,Ayaka Miyake,Ayaka Miyake,Ayaka Miyake,hot tears;Sheeta.C,hot tears;Sheeta.C,hot tears;Sheeta.C,hot tears;Sheeta.C,hot tears;Sheeta.C,hot tears;Sheeta.C,2020-02-12,NA,Nijigasaki,A·ZU·NA 1st,チア・フォー・ユー！！ (オフボーカル)
Dream Land ! Dream World ! ,5,A·ZU·NAランドへようこそ!,Welcome to A·ZU·NA Land!,A·ZU·NA랜드에 오신걸 환영합니다!,,,,,,,,,,,,,2020-02-12,NA,Nijigasaki,Drama Part,ア·ズ·ナランドへようこそ!
Sing & Smile!!,1,Sing & Smile!!,Sing & Smile!!,Sing & Smile!!,QU4RTZ,QU4RTZ,QU4RTZ,Carlos K.,Carlos K.,Carlos K.,丸谷マナブ;Carlos K.,Manabu Marutani;Carlos K.,마루타니 마나부;Carlos K.,Carlos K.,Carlos K.,Carlos K.,2020-02-12,https://youtu.be/9SEiiwiiha4,Nijigasaki,QU4RTZ 1st,シング アンド スマイル
Sing & Smile!!,2,Beautiful Moonlight,Beautiful Moonlight,Beautiful Moonlight,QU4RTZ,QU4RTZ,QU4RTZ,Ayaka Miyake,Ayaka Miyake,Ayaka Miyake,ygarshy,ygarshy,ygarshy,PASSiON KiNG,PASSiON KiNG,PASSiON KiNG,2020-02-12,https://youtu.be/CQdEPi9UJvY,Nijigasaki,QU4RTZ 1st,ビューティフルムーンライト
Sing & Smile!!,3,Sing & Smile!! (Off Vocal),Sing & Smile!! (Off Vocal),Sing & Smile!! (Off Vocal),QU4RTZ,QU4RTZ,QU4RTZ,Carlos K.,Carlos K.,Carlos K.,丸谷マナブ;Carlos K.,Manabu Marutani;Carlos K.,마루타니 마나부;Carlos K.,Carlos K.,Carlos K.,Carlos K.,2020-02-12,NA,Nijigasaki,QU4RTZ 1st,シング アンド スマイル (オフボーカル)
